180				
Lippman	201020001	3	PH	3.1413
Miquel	201020002	3	PH	2.9729
Destiny	201020003	3	PH	0.3237
Reda	201020004	3	PH	3.2221
Vesta	201020005	3	PH	0.1397
Sylvie	201020006	3	PH	2.1977
Juli	201020007	3	PH	2.8936
Victoria	201020008	3	PH	0.9793
Stanford	201020009	3	PH	2.2458
Sharon	201020010	3	PH	0.4548
Cathern	201020011	3	PH	0.3427
Barrie	201020012	3	PH	1.0635
Melinda	201020013	3	PH	0.4834
Silvana	201020014	3	PH	1.8501
Vivan	201020015	3	PH	1.2775
January	201020016	3	PH	1.8905
Twanna	201020017	3	PH	1.9152
Casie	201020018	3	PH	0.9153
Kasha	201020019	3	PH	0.1907
Armando	201020020	3	PH	1.3354
Carrie	201020021	3	PH	1.5844
Burton	201020022	3	PH	0.8146
Florine	201020023	3	PH	0.0148
Maryanne	201020024	3	PH	0.0607
Ileen	201020025	3	PH	1.1459
Audria	201020026	3	PH	0.5815
Tosha	201020027	3	PH	0.7502
Jacqulyn	201020028	3	PH	2.3868
Nikole	201020029	3	PH	1.5101
Leigha	201020030	3	PH	0.2268
Albertha	201020031	3	PH	1.2495
Adeline	201020032	3	PH	2.6641
Malia	201020033	3	PH	0.5668
Phoebe	201020034	3	PH	1.1565
Gaston	201020035	3	PH	2.783
Lakita	201020036	3	PH	2.6526
Melvina	201020037	3	PH	2.1959
Monte	201020038	3	PH	0.2195
Shelia	201020039	3	PH	2.2455
Inell	201020040	3	PH	0.2709
Loretta	201020041	3	PH	2.5644
Cammy	201020042	3	PH	1.9653
Marlin	201020043	3	PH	1.2956
Cathi 	201020044	3	PH	2.9652
Ola	201020045	3	PH	1.6594
Blanca	201020046	3	PH	0.9869
Dayle 	201020047	3	PH	2.3272
Elvina	201020048	3	PH	0.5161
Marcel	201020049	3	PH	2.9891
Gaye	201020050	3	PH	0.6702
Willen	201020051	3	PH	0.1031
Shela 	201020052	3	PH	2.8729
Regina	201020053	3	PH	3.2624
Jasmin	201020054	3	PH	1.0851
Marica	201020055	3	PH	3.1671
Josely	201020056	3	PH	1.4848
Tanja 	201020057	3	PH	0.1305
Valent	201020058	3	PH	1.6717
Margie	201020059	3	PH	0.4359
Spence	201020060	3	PH	1.9409
Evelia	201022201	3	MA	0.8057
Nannie	201022202	3	MA	2.945
Daine 	201022203	3	MA	3.1503
Palma 	201022204	3	MA	1.2865
Ileana	201022205	3	MA	0.364
Jeneva	201022206	3	MA	2.8414
Enriqu	201022207	3	MA	1.818
Marind	201022208	3	MA	2.9422
Leilan	201022209	3	MA	2.2997
Charle	201022210	3	MA	0.7101
Dorris	201022211	3	MA	2.0681
Evelyn	201022212	3	MA	1.9174
Faviol	201022213	3	MA	1.2088
Alejan	201022214	3	MA	1.7479
Shera 	201022215	3	MA	2.1307
Norah 	201022216	3	MA	2.6528
Claudi	201022217	3	MA	3.2223
Tanish	201022218	3	MA	2.0762
Betsey	201022219	3	MA	2.0756
Faye	201022220	3	MA	1.0896
Lanny 	201022221	3	MA	1.694
Galina	201022222	3	MA	3.0779
Carlyn	201022223	3	MA	1.1265
Shery 	201022224	3	MA	2.412
Anitra	201022225	3	MA	2.5948
Julius	201022226	3	MA	2.7885
Kassie	201022227	3	MA	2.7211
Brigid	201022228	3	MA	2.2334
Yasmin	201022229	3	MA	1.5914
Ghisla	201022230	3	MA	2.0043
Ray	201022231	3	MA	3.1391
Wilbur	201022232	3	MA	1.75
Jane	201022233	3	MA	0.9941
Shondr	201022234	3	MA	2.8214
Cleora	201022235	3	MA	2.8611
Kellie	201022236	3	MA	2.92
Donna 	201022237	3	MA	0.2072
Cherry	201022238	3	MA	2.6424
Kena	201022239	3	MA	1.9575
Anjane	201022240	3	MA	3.2097
Tammie	201022241	3	MA	2.5584
Shonta	201022242	3	MA	0.906
Bernad	201022243	3	MA	0.7113
Marion	201022244	3	MA	1.2731
Olene 	201022245	3	MA	2.5564
Adolph	201022246	3	MA	1.618
Barbra	201022247	3	MA	1.9168
Elina 	201022248	3	MA	2.7355
Shanta	201022249	3	MA	0.9228
Lucret	201022250	3	MA	0.603
Sadie 	201022251	3	MA	0.9077
Stepha	201022252	3	MA	1.4441
Gregor	201022253	3	MA	2.8105
Tiffan	201022254	3	MA	0.5866
Vivian	201022255	3	MA	1.5083
Tyrell	201022256	3	MA	1.9679
Gregor	201022257	3	MA	0.1453
Windy 	201022258	3	MA	0.9059
Margar	201022259	3	MA	0.3616
Jacint	201022260	3	MA	0.6824
Marsha	201024401	3	CSE	0.1073
Annabe	201024402	3	CSE	1.0676
Marjor	201024403	3	CSE	2.466
Leonel	201024404	3	CSE	2.633
Tyron 	201024405	3	CSE	1.7603
Kaylee	201024406	3	CSE	2.2265
Rubi	201024407	3	CSE	3.274
Azalee	201024408	3	CSE	0.3557
Rob	201024409	3	CSE	2.1675
Kateli	201024410	3	CSE	0.535
Glenni	201024411	3	CSE	0.8536
Rosean	201024412	3	CSE	3.0232
Corali	201024413	3	CSE	0.4393
Kelli 	201024414	3	CSE	2.1193
Monnie	201024415	3	CSE	2.6928
Maggie	201024416	3	CSE	0.421
Ethel 	201024417	3	CSE	0.8874
Jae	201024418	3	CSE	1.6421
Cecili	201024419	3	CSE	1.1007
Vertie	201024420	3	CSE	2.8088
Shayna	201024421	3	CSE	0.1459
Marylo	201024422	3	CSE	3.2294
Colene	201024423	3	CSE	2.1312
Georgi	201024424	3	CSE	3.1249
Brandy	201024425	3	CSE	1.8142
Marlen	201024426	3	CSE	2.7953
Lucill	201024427	3	CSE	0.2931
Bonny 	201024428	3	CSE	2.0157
Elsa	201024429	3	CSE	2.429
Tien	201024430	3	CSE	2.0485
Tiara 	201024431	3	CSE	3.2285
Jenna 	201024432	3	CSE	1.2466
Sherit	201024433	3	CSE	0.0819
Brook 	201024434	3	CSE	0.0854
Elisab	201024435	3	CSE	0.6492
Derek 	201024436	3	CSE	0.074
Bok	201024437	3	CSE	1.9343
Denise	201024438	3	CSE	0.2406
Haydee	201024439	3	CSE	2.1871
Betsey	201024440	3	CSE	2.1817
Venita	201024441	3	CSE	2.2298
Erica 	201024442	3	CSE	2.4729
Meda	201024443	3	CSE	0.9027
Shaunt	201024444	3	CSE	1.1999
Terren	201024445	3	CSE	0.5582
Mariel	201024446	3	CSE	3.1646
Tiffan	201024447	3	CSE	2.1518
Nicole	201024448	3	CSE	1.162
Queen 	201024449	3	CSE	3.0198
Janeth	201024450	3	CSE	2.159
Yael	201024451	3	CSE	0.9834
China 	201024452	3	CSE	2.8728
Azucen	201024453	3	CSE	0.767
Hollie	201024454	3	CSE	0.0231
Sanjua	201024455	3	CSE	0.2432
Magare	201024456	3	CSE	0.37
Malind	201024457	3	CSE	0.1988
Paulen	201024458	3	CSE	0.9136
Tinish	201024459	3	CSE	2.964
Dexter	201024460	3	CSE	1.7423
